Postcode,State,Fuel Type,Registrations as at 31 January 2022,Total personal income (weekly),Age,Population,Income_Midpoint,Age_Midpoint
4217,QLD,Battery Electric Vehicle,185," $2,000-$2,999", 65-74 years,259,2499.5,69.5
4217,QLD,Battery Electric Vehicle,185, $800-$999, 65-74 years,360,899.5,69.5
4217,QLD,Battery Electric Vehicle,185," $1,250-$1,499", 20-24 years,124,1374.5,22.0
4217,QLD,Battery Electric Vehicle,185," $1,500-$1,749", 75-84 years,93,1624.5,79.5
4217,QLD,Battery Electric Vehicle,185," $1,250-$1,499", 35-44 years,428,1374.5,39.5
4217,QLD,Battery Electric Vehicle,185," $3,000-$3499", 20-24 years,9,3249.5,22.0
4217,QLD,Battery Electric Vehicle,185, $150-$299, 25-34 years,138,224.5,29.5
4217,QLD,Battery Electric Vehicle,185, $800-$999, 45-54 years,558,899.5,49.5
4217,QLD,Battery Electric Vehicle,185," $1,500-$1,749", 55-64 years,369,1624.5,59.5
4217,QLD,Battery Electric Vehicle,185, Total, 85 years and over,849,0,85+
4217,QLD,Battery Electric Vehicle,185, $400-$499, 20-24 years,256,449.5,22.0
4217,QLD,Battery Electric Vehicle,185, $300-$399, 65-74 years,642,349.5,69.5
4217,QLD,Battery Electric Vehicle,185, Not stated, 75-84 years,380,0,79.5
4217,QLD,Battery Electric Vehicle,185, Negative/Nil income, 45-54 years,350,0,49.5
4217,QLD,Battery Electric Vehicle,185, $800-$999, 75-84 years,171,899.5,79.5
4217,QLD,Battery Electric Vehicle,185," $3,500 or more", 35-44 years,326,3500+,39.5
4217,QLD,Battery Electric Vehicle,185, $800-$999, 15-19 years,33,899.5,17.0
4217,QLD,Battery Electric Vehicle,185, $150-$299, 65-74 years,257,224.5,69.5
4217,QLD,Battery Electric Vehicle,185," $2,000-$2,999", 85 years and over,15,2499.5,85+
4217,QLD,Battery Electric Vehicle,185, $400-$499, 85 years and over,157,449.5,85+
4217,QLD,Battery Electric Vehicle,185, $300-$399, 35-44 years,213,349.5,39.5
4217,QLD,Battery Electric Vehicle,185, Not stated, 20-24 years,398,0,22.0
4217,QLD,Battery Electric Vehicle,185, Total, 65-74 years,5804,0,69.5
4217,QLD,Battery Electric Vehicle,185," $1,000-$1,249", 55-64 years,567,1124.5,59.5
4217,QLD,Battery Electric Vehicle,185, $400-$499, 75-84 years,533,449.5,79.5
4217,QLD,Battery Electric Vehicle,185, $800-$999, 85 years and over,50,899.5,85+
4217,QLD,Battery Electric Vehicle,185," $2,000-$2,999", 25-34 years,299,2499.5,29.5
4217,QLD,Battery Electric Vehicle,185," $1,250-$1,499", 85 years and over,18,1374.5,85+
4217,QLD,Battery Electric Vehicle,185, $150-$299, 55-64 years,194,224.5,59.5
4217,QLD,Battery Electric Vehicle,185, $800-$999, 20-24 years,421,899.5,22.0
4217,QLD,Battery Electric Vehicle,185, $150-$299, 75-84 years,170,224.5,79.5
4217,QLD,Battery Electric Vehicle,185, $1-$149, 35-44 years,62,75.0,39.5
4217,QLD,Battery Electric Vehicle,185," $2,000-$2,999", 35-44 years,515,2499.5,39.5
4217,QLD,Battery Electric Vehicle,185, Total, 55-64 years,6135,0,59.5
4217,QLD,Battery Electric Vehicle,185, Not stated, 65-74 years,640,0,69.5
4217,QLD,Battery Electric Vehicle,185," $2,000-$2,999", 75-84 years,99,2499.5,79.5
4217,QLD,Battery Electric Vehicle,185, $150-$299, 20-24 years,158,224.5,22.0
4217,QLD,Battery Electric Vehicle,185, $800-$999, 55-64 years,536,899.5,59.5
4217,QLD,Battery Electric Vehicle,185," $1,250-$1,499", 45-54 years,439,1374.5,49.5
