Postcode,State,Fuel Type,Registrations as at 31 January 2022,Total personal income (weekly),Age,Population,Income_Midpoint,Age_Midpoint
3029,VIC,Hybrid,1803," $2,000-$2,999", 45-54 years,1082,2499.5,49.5
3029,VIC,Hybrid,1803, $300-$399, 55-64 years,641,349.5,59.5
3029,VIC,Hybrid,1803, $1-$149, 25-34 years,380,75.0,29.5
3029,VIC,Hybrid,1803, Total, 75-84 years,2408,0,79.5
3029,VIC,Hybrid,1803," $1,000-$1,249", 20-24 years,814,1124.5,22.0
3029,VIC,Hybrid,1803, Not stated, 45-54 years,874,0,49.5
3029,VIC,Hybrid,1803," $1,250-$1,499", 35-44 years,2533,1374.5,39.5
3029,VIC,Hybrid,1803, $500-$649, 25-34 years,1515,574.5,29.5
3029,VIC,Hybrid,1803," $1,500-$1,749", 75-84 years,22,1624.5,79.5
3029,VIC,Hybrid,1803, $650-$799, 45-54 years,871,724.5,49.5
3029,VIC,Hybrid,1803, $300-$399, 85 years and over,103,349.5,85+
3029,VIC,Hybrid,1803, Negative/Nil income, 15-19 years,3631,0,17.0
3029,VIC,Hybrid,1803," $2,000-$2,999", 20-24 years,48,2499.5,22.0
3029,VIC,Hybrid,1803, $800-$999, 85 years and over,24,899.5,85+
3029,VIC,Hybrid,1803, $500-$649, 15-19 years,181,574.5,17.0
3029,VIC,Hybrid,1803, $150-$299, 65-74 years,377,224.5,69.5
3029,VIC,Hybrid,1803," $3,000-$3499", 35-44 years,567,3249.5,39.5
3029,VIC,Hybrid,1803, Negative/Nil income, 75-84 years,312,0,79.5
3029,VIC,Hybrid,1803, $800-$999, 65-74 years,292,899.5,69.5
3029,VIC,Hybrid,1803," $1,000-$1,249", 35-44 years,3279,1124.5,39.5
3029,VIC,Hybrid,1803, $300-$399, 25-34 years,914,349.5,29.5
3029,VIC,Hybrid,1803, $650-$799, 20-24 years,961,724.5,22.0
3029,VIC,Hybrid,1803," $1,750-$1,999", 35-44 years,1538,1874.5,39.5
3029,VIC,Hybrid,1803," $3,000-$3499", 55-64 years,102,3249.5,59.5
3029,VIC,Hybrid,1803, $150-$299, 45-54 years,385,224.5,49.5
3029,VIC,Hybrid,1803, Not stated, 15-19 years,556,0,17.0
3029,VIC,Hybrid,1803," $1,500-$1,749", 65-74 years,124,1624.5,69.5
