Postcode,State,Fuel Type,Registrations as at 31 January 2022,Total personal income (weekly),Age,Population,Income_Midpoint,Age_Midpoint
4350,QLD,Internal Combustion Engine,87602," $1,250-$1,499", 65-74 years,422,1374.5,69.5
4350,QLD,Internal Combustion Engine,87602," $3,000-$3499", 45-54 years,279,3249.5,49.5
4350,QLD,Internal Combustion Engine,87602, $400-$499, 85 years and over,989,449.5,85+
4350,QLD,Internal Combustion Engine,87602," $3,500 or more", 75-84 years,59,3500+,79.5
4350,QLD,Internal Combustion Engine,87602, Negative/Nil income, 20-24 years,383,0,22.0
4350,QLD,Internal Combustion Engine,87602, $800-$999, 45-54 years,1270,899.5,49.5
4350,QLD,Internal Combustion Engine,87602," $1,500-$1,749", 35-44 years,1162,1624.5,39.5
4350,QLD,Internal Combustion Engine,87602," $1,750-$1,999", 45-54 years,921,1874.5,49.5
4350,QLD,Internal Combustion Engine,87602, Total, 35-44 years,13656,0,39.5
4350,QLD,Internal Combustion Engine,87602," $2,000-$2,999", 25-34 years,1004,2499.5,29.5
4350,QLD,Internal Combustion Engine,87602," $1,500-$1,749", 15-19 years,11,1624.5,17.0
4350,QLD,Internal Combustion Engine,87602, $150-$299, 15-19 years,1032,224.5,17.0
4350,QLD,Internal Combustion Engine,87602," $2,000-$2,999", 65-74 years,227,2499.5,69.5
4350,QLD,Internal Combustion Engine,87602, $500-$649, 35-44 years,894,574.5,39.5
4350,QLD,Internal Combustion Engine,87602, $150-$299, 25-34 years,550,224.5,29.5
4350,QLD,Internal Combustion Engine,87602," $2,000-$2,999", 45-54 years,1494,2499.5,49.5
4350,QLD,Internal Combustion Engine,87602," $1,250-$1,499", 35-44 years,1333,1374.5,39.5
4350,QLD,Internal Combustion Engine,87602, Total, 20-24 years,7849,0,22.0
4350,QLD,Internal Combustion Engine,87602," $3,500 or more", 35-44 years,408,3500+,39.5
4350,QLD,Internal Combustion Engine,87602, Total, 85 years and over,3283,0,85+
4350,QLD,Internal Combustion Engine,87602, $400-$499, 20-24 years,516,449.5,22.0
4350,QLD,Internal Combustion Engine,87602, Not stated, 75-84 years,686,0,79.5
3029,VIC,Internal Combustion Engine,80997," $1,750-$1,999", 65-74 years,44,1874.5,69.5
3029,VIC,Internal Combustion Engine,80997," $3,000-$3499", 20-24 years,9,3249.5,22.0
3029,VIC,Internal Combustion Engine,80997, $150-$299, 20-24 years,661,224.5,22.0
3029,VIC,Internal Combustion Engine,80997, Total, 25-34 years,24770,0,29.5
3029,VIC,Internal Combustion Engine,80997, Not stated, 35-44 years,1886,0,39.5
3029,VIC,Internal Combustion Engine,80997," $1,000-$1,249", 75-84 years,49,1124.5,79.5
3029,VIC,Internal Combustion Engine,80997, Negative/Nil income, 65-74 years,1142,0,69.5
3029,VIC,Internal Combustion Engine,80997," $1,500-$1,749", 25-34 years,1697,1624.5,29.5
3029,VIC,Internal Combustion Engine,80997," $3,000-$3499", 15-19 years,3,3249.5,17.0
3029,VIC,Internal Combustion Engine,80997, $300-$399, 65-74 years,1042,349.5,69.5
3029,VIC,Internal Combustion Engine,80997, $800-$999, 35-44 years,2747,899.5,39.5
3029,VIC,Internal Combustion Engine,80997," $1,000-$1,249", 65-74 years,270,1124.5,69.5
3029,VIC,Internal Combustion Engine,80997," $2,000-$2,999", 45-54 years,1082,2499.5,49.5
3029,VIC,Internal Combustion Engine,80997, $300-$399, 55-64 years,641,349.5,59.5
3029,VIC,Internal Combustion Engine,80997, $1-$149, 25-34 years,380,75.0,29.5
3029,VIC,Internal Combustion Engine,80997, Total, 75-84 years,2408,0,79.5
3029,VIC,Internal Combustion Engine,80997," $1,000-$1,249", 20-24 years,814,1124.5,22.0
3029,VIC,Internal Combustion Engine,80997, Not stated, 45-54 years,874,0,49.5
3029,VIC,Internal Combustion Engine,80997," $1,250-$1,499", 35-44 years,2533,1374.5,39.5
3029,VIC,Internal Combustion Engine,80997, $500-$649, 25-34 years,1515,574.5,29.5
3029,VIC,Internal Combustion Engine,80997," $1,500-$1,749", 75-84 years,22,1624.5,79.5
3029,VIC,Internal Combustion Engine,80997, $650-$799, 45-54 years,871,724.5,49.5
3029,VIC,Internal Combustion Engine,80997, $300-$399, 85 years and over,103,349.5,85+
3029,VIC,Internal Combustion Engine,80997, Negative/Nil income, 15-19 years,3631,0,17.0
3029,VIC,Internal Combustion Engine,80997," $2,000-$2,999", 20-24 years,48,2499.5,22.0
3029,VIC,Internal Combustion Engine,80997, $800-$999, 85 years and over,24,899.5,85+
3029,VIC,Internal Combustion Engine,80997, $500-$649, 15-19 years,181,574.5,17.0
3029,VIC,Internal Combustion Engine,80997, $150-$299, 65-74 years,377,224.5,69.5
3029,VIC,Internal Combustion Engine,80997," $3,000-$3499", 35-44 years,567,3249.5,39.5
3029,VIC,Internal Combustion Engine,80997, Negative/Nil income, 75-84 years,312,0,79.5
3029,VIC,Internal Combustion Engine,80997, $800-$999, 65-74 years,292,899.5,69.5
3029,VIC,Internal Combustion Engine,80997," $1,000-$1,249", 35-44 years,3279,1124.5,39.5
3029,VIC,Internal Combustion Engine,80997, $300-$399, 25-34 years,914,349.5,29.5
3029,VIC,Internal Combustion Engine,80997, $650-$799, 20-24 years,961,724.5,22.0
3029,VIC,Internal Combustion Engine,80997," $1,750-$1,999", 35-44 years,1538,1874.5,39.5
3029,VIC,Internal Combustion Engine,80997," $3,000-$3499", 55-64 years,102,3249.5,59.5
3029,VIC,Internal Combustion Engine,80997, $150-$299, 45-54 years,385,224.5,49.5
3029,VIC,Internal Combustion Engine,80997, Not stated, 15-19 years,556,0,17.0
3029,VIC,Internal Combustion Engine,80997," $1,500-$1,749", 65-74 years,124,1624.5,69.5
3029,VIC,Internal Combustion Engine,80997, $1-$149, 85 years and over,8,75.0,85+
3029,VIC,Internal Combustion Engine,80997," $1,250-$1,499", 15-19 years,16,1374.5,17.0
3029,VIC,Internal Combustion Engine,80997," $1,500-$1,749", 45-54 years,990,1624.5,49.5
3029,VIC,Internal Combustion Engine,80997, Not stated, 75-84 years,184,0,79.5
3029,VIC,Internal Combustion Engine,80997, Negative/Nil income, 45-54 years,949,0,49.5
3029,VIC,Internal Combustion Engine,80997, $500-$649, 35-44 years,1274,574.5,39.5
3029,VIC,Internal Combustion Engine,80997, $500-$649, 55-64 years,551,574.5,59.5
3029,VIC,Internal Combustion Engine,80997, Negative/Nil income, 35-44 years,1976,0,39.5
3029,VIC,Internal Combustion Engine,80997, Not stated, 65-74 years,397,0,69.5
3029,VIC,Internal Combustion Engine,80997," $1,500-$1,749", 55-64 years,541,1624.5,59.5
3029,VIC,Internal Combustion Engine,80997, Not stated, 85 years and over,67,0,85+
3029,VIC,Internal Combustion Engine,80997, Not stated, 20-24 years,884,0,22.0
3029,VIC,Internal Combustion Engine,80997, Negative/Nil income, 20-24 years,891,0,22.0
3029,VIC,Internal Combustion Engine,80997," $3,000-$3499", 65-74 years,11,3249.5,69.5
3029,VIC,Internal Combustion Engine,80997," $1,750-$1,999", 20-24 years,53,1874.5,22.0
3029,VIC,Internal Combustion Engine,80997, $300-$399, 15-19 years,279,349.5,17.0
3029,VIC,Internal Combustion Engine,80997, Negative/Nil income, 85 years and over,50,0,85+
3029,VIC,Internal Combustion Engine,80997, Not stated, 55-64 years,515,0,59.5
3029,VIC,Internal Combustion Engine,80997, $300-$399, 75-84 years,580,349.5,79.5
3029,VIC,Internal Combustion Engine,80997, $500-$649, 65-74 years,542,574.5,69.5
3029,VIC,Internal Combustion Engine,80997," $1,500-$1,749", 35-44 years,2216,1624.5,39.5
3029,VIC,Internal Combustion Engine,80997," $2,000-$2,999", 25-34 years,1250,2499.5,29.5
3029,VIC,Internal Combustion Engine,80997," $1,000-$1,249", 45-54 years,1657,1124.5,49.5
