Fuel Type,Postcode,State,Registrations,Year,Population,Income,Age
ICE,4350,QLD,90065,2023,11,1624.5,17.0
ICE,4350,QLD,90065,2023,1032,224.5,17.0
ICE,4350,QLD,90065,2023,227,2499.5,69.5
ICE,4350,QLD,90065,2023,894,574.5,39.5
ICE,4350,QLD,90065,2023,550,224.5,29.5
ICE,4350,QLD,90065,2023,1494,2499.5,49.5
ICE,4350,QLD,90065,2023,1333,1374.5,39.5
ICE,4350,QLD,90065,2023,7849,0,22.0
ICE,4350,QLD,90065,2023,408,3500+,39.5
ICE,4350,QLD,90065,2023,3283,0,85+
ICE,4350,QLD,90065,2023,516,449.5,22.0
ICE,4350,QLD,90065,2023,686,0,79.5
Hybrid/PHEV,4350,QLD,1659,2023,212,1874.5,69.5
Hybrid/PHEV,4350,QLD,1659,2023,652,0,69.5
Hybrid/PHEV,4350,QLD,1659,2023,2075,899.5,29.5
Hybrid/PHEV,4350,QLD,1659,2023,78,1124.5,17.0
Hybrid/PHEV,4350,QLD,1659,2023,167,75.0,49.5
Hybrid/PHEV,4350,QLD,1659,2023,1087,574.5,79.5
Hybrid/PHEV,4350,QLD,1659,2023,571,449.5,39.5
Hybrid/PHEV,4350,QLD,1659,2023,15863,0,29.5
Hybrid/PHEV,4350,QLD,1659,2023,754,1874.5,59.5
Hybrid/PHEV,4350,QLD,1659,2023,967,1374.5,59.5
Hybrid/PHEV,4350,QLD,1659,2023,2616,0,17.0
Hybrid/PHEV,4350,QLD,1659,2023,423,574.5,85+
Hybrid/PHEV,4350,QLD,1659,2023,277,1624.5,22.0
Hybrid/PHEV,4350,QLD,1659,2023,936,724.5,49.5
Hybrid/PHEV,4350,QLD,1659,2023,731,0,39.5
Hybrid/PHEV,4350,QLD,1659,2023,1089,724.5,39.5
Hybrid/PHEV,4350,QLD,1659,2023,7612,0,79.5
Hybrid/PHEV,4350,QLD,1659,2023,1095,574.5,29.5
Hybrid/PHEV,4350,QLD,1659,2023,456,224.5,39.5
Hybrid/PHEV,4350,QLD,1659,2023,509,0,85+
Hybrid/PHEV,4350,QLD,1659,2023,1582,349.5,79.5
Hybrid/PHEV,4350,QLD,1659,2023,1015,724.5,69.5
Hybrid/PHEV,4350,QLD,1659,2023,14,1874.5,85+
Hybrid/PHEV,4350,QLD,1659,2023,404,349.5,17.0
Hybrid/PHEV,4350,QLD,1659,2023,1125,1624.5,49.5
Hybrid/PHEV,4350,QLD,1659,2023,134,3249.5,29.5
Hybrid/PHEV,4350,QLD,1659,2023,182,75.0,22.0
Hybrid/PHEV,4350,QLD,1659,2023,1174,899.5,59.5
Hybrid/PHEV,4350,QLD,1659,2023,354,449.5,17.0
Hybrid/PHEV,4350,QLD,1659,2023,18,3249.5,79.5
Hybrid/PHEV,4350,QLD,1659,2023,889,349.5,59.5
Hybrid/PHEV,4350,QLD,1659,2023,1746,1374.5,29.5
Hybrid/PHEV,4350,QLD,1659,2023,474,3500+,49.5
Hybrid/PHEV,4350,QLD,1659,2023,296,1624.5,69.5
Hybrid/PHEV,4350,QLD,1659,2023,254,1124.5,79.5
Hybrid/PHEV,4350,QLD,1659,2023,0,3249.5,17.0
Hybrid/PHEV,4350,QLD,1659,2023,724,349.5,29.5
Hybrid/PHEV,4350,QLD,1659,2023,797,574.5,49.5
Hybrid/PHEV,4350,QLD,1659,2023,1750,75.0,17.0
Hybrid/PHEV,4350,QLD,1659,2023,1090,724.5,22.0
Hybrid/PHEV,4350,QLD,1659,2023,704,0,69.5
