Postcode,State,Fuel Type,Registrations as at 31 January 2021,Registrations as at 31 January 2022,Registrations as at 31 January 2023
2036,NSW,Hydrogen Cell Vehicle,0,0,0
2036,NSW,Hybrid,292,371,452
2037,NSW,Internal Combustion Engine,7193,7327,7365
2037,NSW,Battery Electric Vehicle,25,41,69
2037,NSW,Hydrogen Cell Vehicle,0,0,0
2037,NSW,Hybrid,176,227,257
2038,NSW,Internal Combustion Engine,4857,4866,4776
2038,NSW,Battery Electric Vehicle,13,23,43
2038,NSW,Hydrogen Cell Vehicle,0,0,0
2038,NSW,Hybrid,125,145,163
2039,NSW,Internal Combustion Engine,5296,5252,5175
2039,NSW,Battery Electric Vehicle,5,18,48
2039,NSW,Hydrogen Cell Vehicle,0,0,0
2039,NSW,Hybrid,113,123,150
2040,NSW,Internal Combustion Engine,12869,12692,12601
2040,NSW,Battery Electric Vehicle,16,37,89
2040,NSW,Hydrogen Cell Vehicle,0,0,0
2040,NSW,Hybrid,180,349,361
2041,NSW,Internal Combustion Engine,8627,8487,8404
2041,NSW,Battery Electric Vehicle,22,59,107
2041,NSW,Hydrogen Cell Vehicle,0,0,0
2041,NSW,Hybrid,190,256,295
2042,NSW,Internal Combustion Engine,7348,7501,7256
2042,NSW,Battery Electric Vehicle,9,20,43
2042,NSW,Hydrogen Cell Vehicle,0,0,0
2042,NSW,Hybrid,120,153,203
2043,NSW,Internal Combustion Engine,3677,3837,3931
2043,NSW,Battery Electric Vehicle,8,16,33
2043,NSW,Hydrogen Cell Vehicle,0,0,0
2043,NSW,Hybrid,60,83,115
2044,NSW,Internal Combustion Engine,4882,5041,5126
2044,NSW,Battery Electric Vehicle,6,11,29
2044,NSW,Hydrogen Cell Vehicle,0,0,0
2044,NSW,Hybrid,448,462,545
2045,NSW,Internal Combustion Engine,4350,4358,4288
2045,NSW,Battery Electric Vehicle,11,22,336
2045,NSW,Hydrogen Cell Vehicle,0,0,0
2045,NSW,Hybrid,93,211,320
2046,NSW,Internal Combustion Engine,17926,17458,17414
2046,NSW,Battery Electric Vehicle,27,55,111
2046,NSW,Hydrogen Cell Vehicle,0,0,0
2046,NSW,Hybrid,297,382,476
2047,NSW,Internal Combustion Engine,7277,7164,7122
2047,NSW,Battery Electric Vehicle,20,35,80
2047,NSW,Hydrogen Cell Vehicle,0,0,0
2047,NSW,Hybrid,118,159,188
2048,NSW,Internal Combustion Engine,3731,3733,3703
2048,NSW,Battery Electric Vehicle,7,17,36
2048,NSW,Hydrogen Cell Vehicle,0,0,0
2048,NSW,Hybrid,49,65,101
2049,NSW,Internal Combustion Engine,6029,5815,6017
2049,NSW,Battery Electric Vehicle,3,15,46
2049,NSW,Hydrogen Cell Vehicle,0,0,0
2049,NSW,Hybrid,126,187,222
2050,NSW,Internal Combustion Engine,3889,4024,3883
2050,NSW,Battery Electric Vehicle,8,12,28
2050,NSW,Hydrogen Cell Vehicle,0,0,0
2050,NSW,Hybrid,161,239,302
2060,NSW,Internal Combustion Engine,9986,9833,9807
2060,NSW,Battery Electric Vehicle,38,81,160
2060,NSW,Hydrogen Cell Vehicle,0,0,0
2060,NSW,Hybrid,322,374,509
2061,NSW,Internal Combustion Engine,3080,3118,3073
2061,NSW,Battery Electric Vehicle,12,23,44
2061,NSW,Hydrogen Cell Vehicle,0,0,0
2061,NSW,Hybrid,82,98,116
2062,NSW,Internal Combustion Engine,4035,4042,3941
2062,NSW,Battery Electric Vehicle,11,25,55
2062,NSW,Hydrogen Cell Vehicle,0,0,0
2062,NSW,Hybrid,70,89,123
2063,NSW,Internal Combustion Engine,3927,3899,3828
2063,NSW,Battery Electric Vehicle,29,51,77
2063,NSW,Hydrogen Cell Vehicle,0,0,0
2063,NSW,Hybrid,95,116,142
2064,NSW,Internal Combustion Engine,7830,9184,7666
2064,NSW,Battery Electric Vehicle,20,37,67
2064,NSW,Hydrogen Cell Vehicle,0,0,0
2064,NSW,Hybrid,151,251,281
2065,NSW,Internal Combustion Engine,18776,18723,18269
2065,NSW,Battery Electric Vehicle,73,133,228
2065,NSW,Hydrogen Cell Vehicle,0,0,0
2065,NSW,Hybrid,476,629,790
2066,NSW,Internal Combustion Engine,19683,19607,19727
2066,NSW,Battery Electric Vehicle,74,136,259
2066,NSW,Hydrogen Cell Vehicle,0,0,0
2066,NSW,Hybrid,469,530,601
2067,NSW,Internal Combustion Engine,14367,14453,14703
2067,NSW,Battery Electric Vehicle,40,129,241
2067,NSW,Hydrogen Cell Vehicle,0,0,0
2067,NSW,Hybrid,447,561,762
2068,NSW,Internal Combustion Engine,10187,10061,9797
2068,NSW,Battery Electric Vehicle,42,88,159
2068,NSW,Hydrogen Cell Vehicle,0,0,0
2068,NSW,Hybrid,191,235,260
2069,NSW,Internal Combustion Engine,8975,8934,8592
2069,NSW,Battery Electric Vehicle,37,76,144
2069,NSW,Hydrogen Cell Vehicle,0,0,0
2069,NSW,Hybrid,260,323,318
2070,NSW,Internal Combustion Engine,8495,8449,8371
2070,NSW,Battery Electric Vehicle,37,69,145
2070,NSW,Hydrogen Cell Vehicle,0,0,0
2070,NSW,Hybrid,229,279,326
2071,NSW,Internal Combustion Engine,8314,8133,7956
2071,NSW,Battery Electric Vehicle,49,77,147
2071,NSW,Hydrogen Cell Vehicle,0,0,0
2071,NSW,Hybrid,231,268,324
2072,NSW,Internal Combustion Engine,5097,5134,5113
2072,NSW,Battery Electric Vehicle,13,31,66
2072,NSW,Hydrogen Cell Vehicle,0,0,0
2072,NSW,Hybrid,147,187,230
2073,NSW,Internal Combustion Engine,11961,11477,11297
2073,NSW,Battery Electric Vehicle,54,87,176
2073,NSW,Hydrogen Cell Vehicle,0,0,0
2073,NSW,Hybrid,531,399,450
2074,NSW,Internal Combustion Engine,14772,14574,14429
2074,NSW,Battery Electric Vehicle,51,99,194
2074,NSW,Hydrogen Cell Vehicle,0,0,0
2074,NSW,Hybrid,318,374,448
2075,NSW,Internal Combustion Engine,13871,13743,13483
2075,NSW,Battery Electric Vehicle,49,102,211
2075,NSW,Hydrogen Cell Vehicle,0,0,0
2075,NSW,Hybrid,300,334,411
2076,NSW,Internal Combustion Engine,15263,15060,14873
2076,NSW,Battery Electric Vehicle,42,72,171
2076,NSW,Hydrogen Cell Vehicle,0,0,0
2076,NSW,Hybrid,331,371,459
2077,NSW,Internal Combustion Engine,23086,22938,22992
2077,NSW,Battery Electric Vehicle,24,54,112
2077,NSW,Hydrogen Cell Vehicle,0,0,0
2077,NSW,Hybrid,392,505,675
2079,NSW,Internal Combustion Engine,5086,5025,5030
2079,NSW,Battery Electric Vehicle,3,10,28
2079,NSW,Hydrogen Cell Vehicle,0,0,0
2079,NSW,Hybrid,55,80,110
2080,NSW,Internal Combustion Engine,1726,1733,1704
2080,NSW,Battery Electric Vehicle,0,6,10
2080,NSW,Hydrogen Cell Vehicle,0,0,0
2080,NSW,Hybrid,17,30,40
2081,NSW,Internal Combustion Engine,3572,3543,3553
2081,NSW,Battery Electric Vehicle,4,5,15
2081,NSW,Hydrogen Cell Vehicle,0,0,0
2081,NSW,Hybrid,39,52,75
2082,NSW,Internal Combustion Engine,3629,3617,3669
2082,NSW,Battery Electric Vehicle,3,5,17
2082,NSW,Hydrogen Cell Vehicle,0,0,0
2082,NSW,Hybrid,33,46,53
2083,NSW,Internal Combustion Engine,1222,1233,1189
2083,NSW,Battery Electric Vehicle,3,3,6
2083,NSW,Hydrogen Cell Vehicle,0,0,0
2083,NSW,Hybrid,11,14,16
2084,NSW,Internal Combustion Engine,3250,3301,3319
2084,NSW,Battery Electric Vehicle,17,27,36
2084,NSW,Hydrogen Cell Vehicle,0,0,0
2084,NSW,Hybrid,47,55,65
2085,NSW,Internal Combustion Engine,8494,8396,8347
2085,NSW,Battery Electric Vehicle,19,33,63
2085,NSW,Hydrogen Cell Vehicle,0,0,0
2085,NSW,Hybrid,115,144,173
2086,NSW,Internal Combustion Engine,9428,9437,9368
2086,NSW,Battery Electric Vehicle,20,36,64
2086,NSW,Hydrogen Cell Vehicle,0,0,0
2086,NSW,Hybrid,118,164,201
2087,NSW,Internal Combustion Engine,8344,8301,8219
2087,NSW,Battery Electric Vehicle,10,23,57
2087,NSW,Hydrogen Cell Vehicle,0,0,0
2087,NSW,Hybrid,114,146,185
2088,NSW,Internal Combustion Engine,17947,17736,17354
2088,NSW,Battery Electric Vehicle,96,169,307
2088,NSW,Hydrogen Cell Vehicle,0,0,0
2088,NSW,Hybrid,363,452,561
2089,NSW,Internal Combustion Engine,6424,6322,6281
2089,NSW,Battery Electric Vehicle,20,35,64
2089,NSW,Hydrogen Cell Vehicle,0,0,0
2089,NSW,Hybrid,110,143,162
2090,NSW,Internal Combustion Engine,7436,7405,7395
2090,NSW,Battery Electric Vehicle,30,55,93
2090,NSW,Hydrogen Cell Vehicle,0,0,0
2090,NSW,Hybrid,146,168,198
2092,NSW,Internal Combustion Engine,4635,4569,4505
2092,NSW,Battery Electric Vehicle,21,36,64
2092,NSW,Hydrogen Cell Vehicle,0,0,0
2092,NSW,Hybrid,59,71,86
2093,NSW,Internal Combustion Engine,14151,14081,14051
2093,NSW,Battery Electric Vehicle,44,77,153
2093,NSW,Hydrogen Cell Vehicle,0,0,0
2093,NSW,Hybrid,236,257,310
2094,NSW,Internal Combustion Engine,3464,3534,3469
2094,NSW,Battery Electric Vehicle,16,27,46
2094,NSW,Hydrogen Cell Vehicle,0,0,0
2094,NSW,Hybrid,45,59,89
2095,NSW,Internal Combustion Engine,9074,9117,9030
2095,NSW,Battery Electric Vehicle,42,68,112
2095,NSW,Hydrogen Cell Vehicle,0,0,0
2095,NSW,Hybrid,123,171,203
2096,NSW,Internal Combustion Engine,9231,9262,9052
2096,NSW,Battery Electric Vehicle,27,49,81
2096,NSW,Hydrogen Cell Vehicle,0,0,0
2096,NSW,Hybrid,89,126,167
2097,NSW,Internal Combustion Engine,10481,10402,10303
2097,NSW,Battery Electric Vehicle,15,32,58
2097,NSW,Hydrogen Cell Vehicle,0,0,0
2097,NSW,Hybrid,73,108,148
2099,NSW,Internal Combustion Engine,26339,26304,26197
2099,NSW,Battery Electric Vehicle,32,60,114
2099,NSW,Hydrogen Cell Vehicle,0,0,0
2099,NSW,Hybrid,365,502,665
2100,NSW,Internal Combustion Engine,17311,17003,17058
2100,NSW,Battery Electric Vehicle,27,49,117
2100,NSW,Hydrogen Cell Vehicle,0,0,0
2100,NSW,Hybrid,198,258,339
2101,NSW,Internal Combustion Engine,13572,13478,13613
2101,NSW,Battery Electric Vehicle,32,46,73
2101,NSW,Hydrogen Cell Vehicle,0,0,0
2101,NSW,Hybrid,109,143,177
2102,NSW,Internal Combustion Engine,6069,6022,6109
2102,NSW,Battery Electric Vehicle,3,15,28
2102,NSW,Hydrogen Cell Vehicle,0,0,0
2102,NSW,Hybrid,52,69,101
